seed,fold,encoder_route,input_variant,evaluation_set,auprc,auroc,brier,ece,calibration_intercept,calibration_slope,n_train,n_validation,events_train,events_validation,n_predictors,events_per_predictor
20260523,1,jnu_to_ctu,one_hz,development_sensitivity,0.3145179316526845,0.6289034132171387,0.23093529946813152,0.2187851865802063,-1.2114184112940523,0.3464246991840636,257,129,52,27,15,3.466666666666667
20260523,2,random,full,development_oof,0.553528335656747,0.7651232262882748,0.18953233038634093,0.2418174804801305,-1.370873899562754,1.0032501660760076,257,129,53,26,15,3.533333333333333
20260523,2,jnu_only,full,development_oof,0.5477474086475405,0.7479462285287527,0.194339508938999,0.231867497539798,-1.357370086297561,0.9448706898420611,257,129,53,26,15,3.533333333333333
20260523,2,jnu_asymmetric,full,development_oof,0.5541880443067135,0.7415982076176251,0.194513294930065,0.23681559448328224,-1.317824186181874,1.0396780575152302,257,129,53,26,15,3.533333333333333
20260523,2,ctu_only,full,development_oof,0.5464855870891732,0.7621359223300971,0.19535479145985987,0.23987959966469513,-1.3984155129370404,1.002346563351921,257,129,53,26,15,3.533333333333333
20260523,2,jnu_to_ctu,full,development_oof,0.5503279446904357,0.7516803584764751,0.1947372391282705,0.2332240782811173,-1.3565748906488608,0.9900428229135365,257,129,53,26,15,3.533333333333333
20260523,2,ctu_only,fhr_only,development_sensitivity,0.5154204778357692,0.7837938760268858,0.18981060767709002,0.2299850367205241,-1.3801753455562802,0.9267991765108645,257,129,53,26,15,3.533333333333333
20260523,2,ctu_only,uc_only,development_sensitivity,0.5620078389431855,0.7292755787901419,0.19828589931195115,0.24636499026583175,-1.3246391273968738,1.0404091836904334,257,129,53,26,15,3.533333333333333
20260523,2,ctu_only,one_hz,development_sensitivity,0.5666211900510929,0.7658700522778192,0.1916633299892464,0.24532108621846233,-1.3867864244791477,1.0585166426625616,257,129,53,26,15,3.533333333333333
20260523,2,jnu_to_ctu,fhr_only,development_sensitivity,0.5574508353079134,0.7793129200896192,0.18612048542132653,0.22051634795092548,-1.3582226523203174,1.003320095238235,257,129,53,26,15,3.533333333333333
20260523,2,jnu_to_ctu,uc_only,development_sensitivity,0.5394029330955639,0.7244212098581031,0.19368107047119282,0.22506054284321217,-1.2847785999006252,0.9554202890485175,257,129,53,26,15,3.533333333333333
20260523,2,jnu_to_ctu,one_hz,development_sensitivity,0.533414454049476,0.7483196415235249,0.19715018611457516,0.23652666543487436,-1.3683934669369957,0.9813352991810258,257,129,53,26,15,3.533333333333333
20260523,3,random,full,development_oof,0.2820148578216891,0.6395173453996983,0.24116058389890985,0.2559988256251165,-1.3376834011483114,0.41925367102902805,258,128,53,26,15,3.533333333333333
20260523,3,jnu_only,full,development_oof,0.30090327741924283,0.6549773755656109,0.23141206050507226,0.2556127817517197,-1.3413762726135323,0.5613081973211125,258,128,53,26,15,3.533333333333333
20260523,3,jnu_asymmetric,full,development_oof,0.32962161626937153,0.5916289592760181,0.25281212742108916,0.27112430814697996,-1.3568733533109074,0.38254868109829804,258,128,53,26,15,3.533333333333333
20260523,3,ctu_only,full,development_oof,0.3051328823246411,0.6628959276018099,0.22643419209304091,0.23068549463053695,-1.307201071302601,0.40541062526266963,258,128,53,26,15,3.533333333333333
20260523,3,jnu_to_ctu,full,development_oof,0.29750687970832607,0.6508295625942685,0.23093949327605992,0.25387280867541434,-1.335740854630592,0.5460203490717811,258,128,53,26,15,3.533333333333333
