model,calibration,threshold,model_net_benefit,treat_all_net_benefit,treat_none_net_benefit
signal_10,isotonic,0.45,-0.002190580503833514,-0.4457831325301205,0.0
signal_10,isotonic,0.46,-0.004016064257028114,-0.4725568942436412,0.0
signal_10,isotonic,0.47,-0.005910434189588545,-0.5003409865878609,0.0
signal_10,isotonic,0.48,-0.007877664504170531,-0.5291936978683967,0.0
signal_10,isotonic,0.49,-0.009922041105598862,-0.5591778880226789,0.0
signal_10,isotonic,0.5,-0.012048192771084341,-0.5903614457831325,0.0
signal_10,platt,0.05,0.16296766011414077,0.16296766011414077,0.0
signal_10,platt,0.060000000000000005,0.1540630607536529,0.1540630607536529,0.0
signal_10,platt,0.07,0.14496696463272443,0.14496696463272443,0.0
signal_10,platt,0.08,0.13331587218438973,0.13567312729177577,0.0
signal_10,platt,0.09,0.1255130411756918,0.12617502978948764,0.0
signal_10,platt,0.1,0.11914323962516733,0.11646586345381525,0.0
signal_10,platt,0.11,0.11466089075402734,0.10653851360498172,0.0
signal_10,platt,0.12000000000000001,0.10569550930996714,0.09638554216867468,0.0
signal_10,platt,0.13,0.09583160227115356,0.0859991690901537,0.0
signal_10,platt,0.14,0.08363687307369011,0.07537125245166712,0.0
signal_10,platt,0.15000000000000002,0.07087172218284901,0.06449326718639259,0.0
signal_10,platt,0.16,0.07114170969592654,0.05335628227194489,0.0
signal_10,platt,0.16999999999999998,0.05436202641892875,0.041950936275221395,0.0
signal_10,platt,0.18,0.05671466353217752,0.03026741110784603,0.0
signal_10,platt,0.19,0.041053101294065156,0.018295403837572527,0.0
signal_10,platt,0.2,0.036144578313253004,0.00602409638554216,0.0
signal_10,platt,0.21000000000000002,0.027604087235015992,-0.006557877077932012,0.0
signal_10,platt,0.22000000000000003,0.02873030583873956,-0.019462465245597832,0.0
signal_10,platt,0.22999999999999998,0.02448756063213893,-0.03270223752151463,0.0
signal_10,platt,0.24,0.014901712111604307,-0.04629042485732404,0.0
signal_10,platt,0.25,0.012048192771084348,-0.06024096385542166,0.0
signal_10,platt,0.26,0.00179094757408009,-0.07456854444806255,0.0
signal_10,platt,0.27,0.01081036474665785,-0.0892886614952963,0.0
signal_10,platt,0.28,0.00937081659973224,-0.104417670682731,0.0
signal_10,platt,0.29,0.015442049889699647,-0.11997284914305112,0.0
signal_10,platt,0.3,0.018932874354561098,-0.13597246127366613,0.0
signal_10,platt,0.31,0.0214772132006286,-0.1524358302776323,0.0
signal_10,platt,0.32,0.021261516654854706,-0.16938341601700924,0.0
signal_10,platt,0.33,0.02481568063297967,-0.1868368998381587,0.0
signal_10,platt,0.33999999999999997,0.02281854691493248,-0.20481927710843367,0.0
signal_10,platt,0.35,0.024559777571825765,-0.2233549582947173,0.0
signal_10,platt,0.36,0.020331325301204822,-0.2424698795180723,0.0
signal_10,platt,0.37,0.012813157391470646,-0.2621916236374068,0.0
signal_10,platt,0.38,0.00893898173338515,-0.28254955305091334,0.0
signal_10,platt,0.39,0.0075054315623148266,-0.30357495555994474,0.0
signal_10,platt,0.4,0.00602409638554216,-0.32530120481927716,0.0
signal_10,platt,0.41,0.00867878292832347,-0.3477639371043495,0.0
signal_10,platt,0.42,0.014333194848358956,-0.3710012463647694,0.0
signal_10,platt,0.43,0.013422109490593956,-0.39505389980976535,0.0
signal_10,platt,0.44,0.011187607573149742,-0.41996557659208267,0.0
signal_10,platt,0.45,0.015334063526834613,-0.4457831325301205,0.0
signal_10,platt,0.46,0.008701472556894246,-0.4725568942436412,0.0
signal_10,platt,0.47,0.007388042736985678,-0.5003409865878609,0.0
signal_10,platt,0.48,0.012511584800741427,-0.5291936978683967,0.0
signal_10,platt,0.49,0.006260335459484999,-0.5591778880226789,0.0
signal_10,platt,0.5,0.006024096385542169,-0.5903614457831325,0.0
signal_10,raw,0.05,0.16296766011414077,0.16296766011414077,0.0
signal_10,raw,0.060000000000000005,0.1540630607536529,0.1540630607536529,0.0
signal_10,raw,0.07,0.14496696463272443,0.14496696463272443,0.0
signal_10,raw,0.08,0.13567312729177577,0.13567312729177577,0.0
signal_10,raw,0.09,0.12617502978948764,0.12617502978948764,0.0
